ID,Start time,Completion time,Email,Name,Age,Gender,InformationUseful,VideoDuration,ImproveExerciseKnowledge,UnderstandExerciseImportance,KnowHowToExercise,RecommendVideo,HealthExpertsUseful,"Any videos that you would like to see more of? (You can choose multiple answers)
????????????(?????????

","Any other comments
??????
"
1,8/27/22 11:59:01,8/27/22 12:00:38,anonymous,,50-59 | ??????,Male | ?,5,4,4,4,4,4,4,More exercises that can be practiced at home? | ???????????;More exercises that can be practiced outside home? | ????????????;,
2,8/29/22 8:03:41,8/29/22 8:04:32,anonymous,,Below 50 | ?????,Male | ?,5,4,5,4,5,4,4,More experts to provide information? | ?????????;,
3,8/29/22 9:52:12,8/29/22 11:38:06,anonymous,,Below 50 | ?????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;,"Well done, the segments are concise and to the point. Variety of presenters and topics means it doesn’t get too boring. 
"
4,8/29/22 13:02:08,8/29/22 13:02:56,anonymous,,Below 50 | ?????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;More exercises that can be practiced outside home? | ????????????;More experts to provide information? | ?????????;,
5,8/29/22 13:16:15,8/29/22 13:17:12,anonymous,,Below 50 | ?????,Male | ?,5,4,5,5,5,5,4,More exercises that can be practiced at home? | ???????????;More exercises that can be practiced outside home? | ????????????;More experts to provide information? | ?????????;,
6,8/29/22 17:30:10,8/29/22 17:31:35,anonymous,,Below 50 | ?????,Female | ?,5,3,4,5,5,5,4,More exercises that can be practiced outside home? | ????????????;More experts to provide information? | ?????????;,
7,8/31/22 20:08:24,8/31/22 20:11:01,anonymous,,50-59 | ??????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;More exercises that can be practiced outside home? | ????????????;More experts to provide information? | ?????????;,"Our coach Mei En recommended us to keep fit, very very good!"
8,8/31/22 20:08:26,8/31/22 20:19:47,anonymous,,50-59 | ??????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;,Our coach Mei en encouraged me to stay active 
9,8/31/22 21:43:57,8/31/22 21:48:54,anonymous,,50-59 | ??????,Male | ?,3,3,4,5,4,4,4,More exercises that can be practiced at home? | ???????????;,
10,8/31/22 21:42:12,8/31/22 21:49:36,anonymous,,50-59 | ??????,Female | ?,4,4,4,4,4,3,4,More exercises that can be practiced outside home? | ????????????;,
11,8/31/22 22:47:27,8/31/22 22:47:40,anonymous,,50-59 | ??????,Female | ?,5,5,5,5,5,5,5,More experts to provide information? | ?????????;,Good public service video to create awareness
12,9/1/22 7:30:02,9/1/22 7:30:57,anonymous,,60-69 | ??????,Female | ?,5,5,5,5,5,5,5,More experts to provide information? | ?????????;More exercises that can be practiced outside home? | ????????????;More exercises that can be practiced at home? | ???????????;,
13,9/1/22 8:19:41,9/1/22 8:34:44,anonymous,,50-59 | ??????,Male | ?,5,4,4,5,4,5,4,More experts to provide information? | ?????????;More exercises that can be practiced outside home? | ????????????;More exercises that can be practiced at home? | ???????????;,Could include diet to compliment exercising.
14,9/1/22 8:45:27,9/1/22 8:46:01,anonymous,,60-69 | ??????,Female | ?,5,4,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;,
15,9/1/22 8:49:45,9/1/22 8:51:59,anonymous,,Below 50 | ?????,Male | ?,4,4,4,4,4,4,4,More exercises that can be practiced outside home? | ????????????;,
16,9/1/22 8:52:16,9/1/22 8:56:42,anonymous,,60-69 | ??????,Male | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;,Good to remind participants to understand their own health condition b4 embarking on an exercise regiment especially those who hv not been doing exercises for long. 
17,9/1/22 9:01:21,9/1/22 9:02:13,anonymous,,50-59 | ??????,Female | ?,4,3,4,4,4,3,3,More experts to provide information? | ?????????;,
18,9/1/22 9:15:00,9/1/22 9:16:34,anonymous,,Below 50 | ?????,Male | ?,4,3,5,5,5,4,5,More exercises that can be practiced at home? | ???????????;,video can have multiple languages and maybe a standalone exercise clip so seniors can quickly find it to do the exercises
19,9/1/22 9:23:53,9/1/22 9:29:20,anonymous,,50-59 | ??????,Male | ?,4,3,4,4,4,3,3,More exercises that can be practiced at home? | ???????????;More exercises that can be practiced outside home? | ????????????;,"Provide subtitle on screen
"
20,9/1/22 9:58:12,9/1/22 10:00:07,anonymous,,50-59 | ??????,Female | ?,5,5,5,4,4,5,4,More exercises that can be practiced at home? | ???????????;,
21,9/1/22 11:00:04,9/1/22 11:02:38,anonymous,,50-59 | ??????,Male | ?,5,4,5,5,5,4,5,More experts to provide information? | ?????????;,Would be good to include music in some parts of the video.
22,9/1/22 11:51:52,9/1/22 11:53:14,anonymous,,Below 50 | ?????,Female | ?,4,2,4,5,4,4,3,More exercises that can be practiced outside home? | ????????????;,Shorten the video to 5 mins. No need expert advice 
23,9/1/22 12:06:30,9/1/22 12:07:15,anonymous,,Below 50 | ?????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced outside home? | ????????????;More exercises that can be practiced at home? | ???????????;More experts to provide information? | ?????????;,
24,9/1/22 12:50:40,9/1/22 12:52:30,anonymous,,50-59 | ??????,Male | ?,4,4,5,5,4,5,5,More exercises that can be practiced outside home? | ????????????;,Have more videos with shorter duration. 
25,9/1/22 13:02:52,9/1/22 13:03:50,anonymous,,50-59 | ??????,Male | ?,4,3,4,4,4,4,4,More experts to provide information? | ?????????;,
26,9/1/22 13:28:31,9/1/22 13:30:58,anonymous,,50-59 | ??????,Female | ?,4,3,5,5,5,4,4,More exercises that can be practiced at home? | ???????????;,
27,9/1/22 13:53:53,9/1/22 13:54:49,anonymous,,Below 50 | ?????,Male | ?,4,3,4,5,4,3,4,More exercises that can be practiced at home? | ???????????;,
28,9/1/22 15:15:29,9/1/22 15:16:25,anonymous,,50-59 | ??????,Female | ?,5,4,4,4,4,4,5,More exercises that can be practiced at home? | ???????????;,
29,9/1/22 15:41:22,9/1/22 15:42:18,anonymous,,60-69 | ??????,Female | ?,4,4,4,4,4,4,4,More exercises that can be practiced at home? | ???????????;,
30,9/1/22 18:12:08,9/1/22 18:13:30,anonymous,,50-59 | ??????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;,Well documented 
31,9/1/22 19:12:17,9/1/22 19:13:00,anonymous,,50-59 | ??????,Female | ?,4,3,4,4,4,4,4,More exercises that can be practiced at home? | ???????????;,
32,9/1/22 19:15:17,9/1/22 19:17:46,anonymous,,50-59 | ??????,Female | ?,5,4,4,5,5,4,4,More exercises that can be practiced outside home? | ????????????;,
33,9/1/22 19:19:28,9/1/22 19:20:57,anonymous,,60-69 | ??????,Female | ?,5,3,4,4,4,4,4,More experts to provide information? | ?????????;,
34,9/1/22 19:23:07,9/1/22 19:25:22,anonymous,,60-69 | ??????,Female | ?,4,4,4,4,4,4,4,More exercises that can be practiced at home? | ???????????;,No
35,9/1/22 20:40:31,9/1/22 20:43:43,anonymous,,50-59 | ??????,Female | ?,4,4,5,5,4,4,4,More exercises that can be practiced at home? | ???????????;More experts to provide information? | ?????????;,
36,9/2/22 2:01:07,9/2/22 2:03:25,anonymous,,60-69 | ??????,Male | ?,4,4,4,4,4,0,4,,
37,9/2/22 9:54:36,9/2/22 9:56:07,anonymous,,70-79 | ??????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;More experts to provide information? | ?????????;More exercises that can be practiced outside home? | ????????????;,
38,9/2/22 10:14:15,9/2/22 10:17:28,anonymous,,60-69 | ??????,Female | ?,4,4,4,4,4,4,4,More exercises that can be practiced at home? | ???????????;,Helps for instructors repeat when to breath in and breath out.
39,9/2/22 11:23:41,9/2/22 11:26:31,anonymous,,50-59 | ??????,Female | ?,5,4,4,4,5,4,5,More exercises that can be practiced outside home? | ????????????;More exercises that can be practiced at home? | ???????????;More experts to provide information? | ?????????;,The video was well plan and informative  Thks. 
40,9/3/22 19:37:42,9/3/22 19:38:43,anonymous,,60-69 | ??????,Female | ?,5,5,5,5,5,5,5,More exercises that can be practiced at home? | ???????????;More experts to provide information? | ?????????;,Keep up the good work!
